# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  153       6.025841502906e-10       1.449132397332e-13      -6.220380711602e-12       0.000000000000e+00       3.152851986129e-12       5.685131778090e-13      -3.742986755965e-15 
  154       6.069267345685e-10       1.440665871957e-13      -6.215361794768e-12       0.000000000000e+00       3.094220318862e-12       5.606041984407e-13      -3.683997005810e-15 
  155       6.112398436035e-10       1.431656871242e-13      -6.206979075457e-12       0.000000000000e+00       3.037068584752e-12       5.528587653741e-13      -3.625182973142e-15 
  156       6.155220450688e-10       1.422121995956e-13      -6.195196616136e-12       0.000000000000e+00       2.981338298097e-12       5.452662612568e-13      -3.566439574676e-15 
  157       6.197718621030e-10       1.412078982345e-13      -6.179980204896e-12       0.000000000000e+00       2.926963594910e-12       5.378149571209e-13      -3.507653767461e-15 
  158       6.239877725135e-10       1.401546719848e-13      -6.161297395966e-12       0.000000000000e+00       2.873871085367e-12       5.304919906224e-13      -3.448704401102e-15 
  159       6.281682079778e-10       1.390545268809e-13      -6.139117550225e-12       0.000000000000e+00       2.821979706237e-12       5.232833442799e-13      -3.389462069986e-15 
  160       6.323115532471e-10       1.379095878196e-13      -6.113411875716e-12       0.000000000000e+00       2.771200573320e-12       5.161738237145e-13      -3.329788965505e-15 
  161       6.364162555568e-10       1.367220517914e-13      -6.084153321560e-12       0.000000000000e+00       2.721455193096e-12       5.091503949634e-13      -3.269573832238e-15 
  162       6.404811654073e-10       1.354940392103e-13      -6.051316164122e-12       0.000000000000e+00       2.672732217311e-12       5.022125737646e-13      -3.208840620633e-15 
  163       6.445052245357e-10       1.342277327615e-13      -6.014876461502e-12       0.000000000000e+00       2.625035448700e-12       4.953629177136e-13      -3.147649205077e-15 
  164       6.484873581297e-10       1.329254262934e-13      -5.974812236367e-12       0.000000000000e+00       2.578365870584e-12       4.886037435646e-13      -3.086061157752e-15 
