# Matter power spectrum P(k) at redshift z=0
# for k=1.04299e-05 to 1.0606 h/Mpc,
# number of wavenumbers equal to 562
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.458020938630e-02       1.154862839118e+04 
       4.483516808845e-02       1.148942354782e+04 
       4.509485317291e-02       1.143025892751e+04 
       4.535952908737e-02       1.137109837518e+04 
       4.562948152311e-02       1.131193600131e+04 
       4.590501969118e-02       1.125277677215e+04 
       4.618647890466e-02       1.119354115963e+04 
       4.647422351673e-02       1.113428774469e+04 
       4.676865027370e-02       1.107495154369e+04 
       4.707019215339e-02       1.101554694089e+04 
       4.737932277359e-02       1.095602099848e+04 
       4.769656147242e-02       1.089642192534e+04 
       4.802247918345e-02       1.083665820822e+04 
       4.835770525518e-02       1.077666578757e+04 
       4.870293539653e-02       1.071656852472e+04 
       4.905894097124e-02       1.065620768912e+04 
       4.942657991471e-02       1.059564027296e+04 
       4.980680961132e-02       1.053471413765e+04 
       5.020070215105e-02       1.047346087188e+04 
       5.060946248711e-02       1.041183236736e+04 
       5.103445014667e-02       1.034979840707e+04 
       5.147720531305e-02       1.028722373946e+04 
       5.193948030950e-02       1.022410190684e+04 
       5.242327778475e-02       1.016027501228e+04 
       5.293089724320e-02       1.009571423267e+04 
       5.346499199533e-02       1.003020502004e+04 
       5.402863914236e-02       9.963661651566e+03 
       5.462542586530e-02       9.895837794439e+03 
       5.525955605411e-02       9.826549492037e+03 
       5.593598214006e-02       9.755433555158e+03 
       5.666056773725e-02       9.682160591344e+03 
       5.744028701937e-02       9.606223365258e+03 
       5.828346592615e-02       9.526976132084e+03 
       5.920006684013e-02       9.443544985761e+03 
       6.020200948358e-02       9.354763382353e+03 
       6.130350138327e-02       9.259109580968e+03 
       6.252131301309e-02       9.154406715059e+03 
       6.387486424696e-02       9.037698074240e+03 
       6.538588094154e-02       8.904987879495e+03 
       6.707724643984e-02       8.750969524109e+03 
       6.897059460539e-02       8.568875421984e+03 
       7.108238020586e-02       8.350781871988e+03 
       7.341891617667e-02       8.088264451807e+03 
       7.597216987433e-02       7.773426799836e+03 
       7.871896957907e-02       7.394764449817e+03 
       8.162507886710e-02       6.965498442301e+03 
       8.465250002337e-02       6.564209184651e+03 
       8.776633120890e-02       6.165037365505e+03 
       9.093858518648e-02       5.776969397969e+03 
       9.414887943246e-02       5.412787782202e+03 
       9.738331573007e-02       5.083248338702e+03 
       1.006328202320e-01       4.795236553435e+03 
       1.038916315749e-01       4.551456098054e+03 
