# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  137       5.100410124232e-10       1.385964110407e-13      -5.693008900280e-12       0.000000000000e+00       3.846573550059e-12       5.303748133065e-13      -4.588165911154e-15 
  138       5.147436200962e-10       1.387274135294e-13      -5.727845899985e-12       0.000000000000e+00       3.764356269308e-12       5.201632736055e-13      -4.518220953062e-15 
  139       5.194372666521e-10       1.387974526859e-13      -5.760237895037e-12       0.000000000000e+00       3.684498583939e-12       5.102074231267e-13      -4.448970533549e-15 
  140       5.241207604867e-10       1.388066194823e-13      -5.790130760458e-12       0.000000000000e+00       3.606888211983e-12       5.005064429178e-13      -4.380519046857e-15 
  141       5.287928602316e-10       1.387550823457e-13      -5.817471190028e-12       0.000000000000e+00       3.531397896520e-12       4.910584561869e-13      -4.312971570869e-15 
  142       5.334522736902e-10       1.386430887587e-13      -5.842206728819e-12       0.000000000000e+00       3.457885074963e-12       4.818605016746e-13      -4.246433833553e-15 
  143       5.380976567744e-10       1.384709668600e-13      -5.864285805731e-12       0.000000000000e+00       3.386191548346e-12       4.729085070256e-13      -4.181012179399e-15 
  144       5.427277003843e-10       1.382391387106e-13      -5.883658172897e-12       0.000000000000e+00       3.316176213620e-12       4.641978409677e-13      -4.116788608593e-15 
  145       5.473414029500e-10       1.379481581883e-13      -5.900276204025e-12       0.000000000000e+00       3.247817595648e-12       4.557250874156e-13      -4.053743191948e-15 
  146       5.519378228618e-10       1.375986798893e-13      -5.914093786498e-12       0.000000000000e+00       3.181120841879e-12       4.474863964652e-13      -3.991823907722e-15 
  147       5.565159923854e-10       1.371914494497e-13      -5.925065960568e-12       0.000000000000e+00       3.116085427549e-12       4.394768981971e-13      -3.930970706807e-15 
  148       5.610749171032e-10       1.367273052138e-13      -5.933148954227e-12       0.000000000000e+00       3.052705014987e-12       4.316906793748e-13      -3.871115335906e-15 
  149       5.656135753563e-10       1.362071799013e-13      -5.938300218086e-12       0.000000000000e+00       2.990967312916e-12       4.241207601431e-13      -3.812181160718e-15 
  150       5.701309176856e-10       1.356321022745e-13      -5.940478460244e-12       0.000000000000e+00       2.930853935756e-12       4.167590707265e-13      -3.754082989117e-15 
  151       5.746258662738e-10       1.350031988064e-13      -5.939643681166e-12       0.000000000000e+00       2.872340262927e-12       4.095964281277e-13      -3.696726894333e-15 
  152       5.790973143870e-10       1.343216953478e-13      -5.935757208555e-12       0.000000000000e+00       2.815395298149e-12       4.026225128258e-13      -3.640010038132e-15 
