# Matter power spectrum P(k) at redshift z=0
# for k=1.05305e-05 to 1.16662 h/Mpc,
# number of wavenumbers equal to 569
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       5.289777348486e-01       2.709129219447e+02 
       5.321836813704e-01       2.674156702872e+02 
       5.353896280301e-01       2.639691185170e+02 
       5.385955748251e-01       2.605782850160e+02 
       5.418015217530e-01       2.572470908660e+02 
       5.450074688115e-01       2.539781403740e+02 
       5.482134159983e-01       2.507714789018e+02 
       5.514193633111e-01       2.476251626389e+02 
       5.546253107478e-01       2.445375471443e+02 
       5.578312583062e-01       2.415083546267e+02 
       5.610372059842e-01       2.385384525409e+02 
       5.642431537798e-01       2.356271419293e+02 
       5.674491016910e-01       2.327741960153e+02 
       5.706550497158e-01       2.299764702271e+02 
       5.738609978523e-01       2.272294756312e+02 
       5.770669460986e-01       2.245286337531e+02 
       5.802728944529e-01       2.218701079292e+02 
       5.834788429135e-01       2.192518755276e+02 
       5.866847914786e-01       2.166733306451e+02 
       5.898907401464e-01       2.141348091802e+02 
       5.930966889154e-01       2.116361099851e+02 
       5.963026377838e-01       2.091759420785e+02 
       5.995085867501e-01       2.067524017170e+02 
       6.027145358127e-01       2.043634736121e+02 
       6.059204849701e-01       2.020083882448e+02 
       6.091264342208e-01       1.996876481409e+02 
       6.123323835632e-01       1.974029499121e+02 
       6.155383329960e-01       1.951564728132e+02 
       6.187442825178e-01       1.929490620650e+02 
       6.219502321271e-01       1.907801360735e+02 
       6.251561818227e-01       1.886477468672e+02 
       6.283621316032e-01       1.865500003425e+02 
       6.315680814673e-01       1.844852225940e+02 
       6.347740314137e-01       1.824523634482e+02 
       6.724228932094e-01       1.607791667350e+02 
       7.179757551132e-01       1.390614070038e+02 
       7.759191671389e-01       1.169511395469e+02 
       8.550891675485e-01       9.396243352544e+01 
       9.740086028697e-01       6.983351304648e+01 
       1.166615838207e+00       4.600688037619e+01 
